start	end	text
0	3080	第一块首先会跟大家去分享一下
3080	6640	2026年美克多整体的一个招商政策
6640	8160	以及扶持计划
8160	11880	并且会介绍几个美克多对中国卖家的
11880	13440	几个物流解决方案
13440	16680	以及说因为今天是自发货的一个专场
16680	19280	所以会跟大家分享一下
19280	21280	在消费电子板块
21280	23320	家具工业器模配板块
23320	25040	以及扶持板块
25040	29480	在自发货端跟大家推荐一些预测的爆款
29920	33480	首先我会快速的跟大家先介绍一下
33480	34760	拉美的情况
34760	36600	以及大家的目标市场的情况
36600	39520	因为我看有部分卖家刚才扣的是2
39520	41360	还没有入住美克多
41360	43640	首先大家如果想布局拉美的话
43640	44960	其实大家要知道
44960	46000	拉美广一场来讲
46000	48280	就是美国以南的所有国家和地区
48280	51200	人口覆盖了6.5亿
51200	52320	这个人口大家都知道
52320	53840	对于电商卖家来说的话
53840	55400	就是一个潜在流量
55400	59200	官方语言是西班牙语和葡萄牙语为主
59280	61080	除了巴西是葡萄牙语
61080	64400	剩下的国家和地区都是以西班牙语为主
64400	66600	但是如果大家布局美克多的话
66600	69040	你的listing只需要用英语去进行上传
69040	71840	然后我们会翻译成对应的国家语言
71840	73040	我们可以看到
73040	75880	2025年美克多的电商规模的增速
75880	79120	拉美电商的规模增速达到了20%以上
79120	81720	21%的一个增速
81720	84560	全球平均目前只有8%到10%
84560	87120	然后预计在2027年
87120	89040	拉美市场整体会通过
89080	91000	万亿美元的一个市场
91000	92720	所以目前大家现在入驻
92720	94480	是一个很好的时间段
94480	97720	刚才说到了6.5亿人口是一个潜在流量
97720	102680	所以我们预计2026年的电商的消费者
102680	104320	将达到3.4亿
104320	108040	这个人数是超过美国的一个总人口的
108040	108960	下面再跟大家说
108960	111600	为什么我们把拉美称之为一个南海市场
111600	112960	属下我们可以看到
112960	114800	目前的竞争还是相对温和的
114800	116080	因为美克多前几年
116080	118160	基本上是一个有门槛的招商
118160	121600	所以整体的中国卖家的数量还是相对较少
121600	125560	第二中拉双边贸易是非常和谐的
125560	128040	并且和拉美的22个国家
128040	130000	签署了一带一路的协议
130000	133400	大的方向上是有绝对的支持的
133400	135600	第三点就是拉美整体的
135600	138880	刚才说到了人口消费群体的庞大
138880	141960	以及它的购买力是相对较强的
141960	146120	最后一点就是其实近几年的一个发展
146160	148400	拉美整体的一个电商的基建
148400	149840	不管是物流也好
149840	151600	平台端的产品也好
151600	153400	还是卖家端的这种
153400	156120	选品的柔性供应链的这种对应也好
156120	158280	都是基建都是非常完善的
160520	162840	说完了拉美再来跟大家说一下美克多
162840	164920	首先美克多是99年
164920	168000	就在阿根廷贝诺斯艾利斯成立了
168000	171520	也就是说美克多是一个成长于拉美
171520	176040	然后身根于拉美的一个本土的拉美公司
176320	177960	也是本土的拉美平台
177960	182080	目前覆盖了18个国家和地区
182080	185280	并且2007年纳斯达克上市
185280	189800	并且市值达到了目前是1200多亿美金
189800	193960	并且它也是全球市值top6的一个电商公司
193960	196280	从这几点我们就可以看到
196280	198440	其实资本也是很看好
198440	200800	美克多这个平台和拉美市场的
202440	205720	我们来从流量端和市占率端来看一下
205720	210720	美克多同比于拉美其他的平台来说的话
210720	212560	到底有怎么样的一个优势
212560	214680	我们可以看到以巴西战为例
214680	218000	美克多其实是遥遥领先的
218000	220440	并且以右边这张图
220440	223960	拉美排名前6的市场来看的话
223960	227400	美克多的市占率都是排名第一的
227400	228640	换句话说也就是说
228640	230560	大家如果想布局拉美电商的话
230560	233600	其实美克多是一个绕不开的一个平台
234600	236600	我们具体来看一下
236600	240480	其实左边黄色部分和右边蓝色部分
240480	243520	都是美克多所涉及的一些业务
243520	245000	黄色部分我们可以看到
245000	246840	有电商平台 线上商城
246840	249320	汽车房地产 广告物流等等的
249320	251880	右边蓝色部分就是一些美克多
251880	255080	有金融保险相关的一些产品
255080	258080	由此我们可以看到美克多不单单是一个平台
258080	261760	更像是一个拉美最大的电子商务生态系统
261920	262840	数字来看的话
262840	264680	其实美克多在2023年度的
264680	268160	独立回约用户就已经达到了2.18亿
268160	270240	并且2024年度的
270240	273480	它的商品交易总额达到了515亿美元
273480	276880	这个数字在2023年是448亿
276880	279440	在2022年是345亿
279440	281360	也就是说美克多确实是每年
281360	284160	一百分之二十以上的速度在快速增长
286720	289560	那下面这一页主要跟大家来分享一下
289560	293600	美克多对于中国卖家开放的市场
293600	294840	也就是说大家可以看到
294840	297920	现在PVD上展示的有五个国家
297920	299240	并且这五个国家
299240	302720	就是拉美流量排名前五的国家
302720	305440	也就是说美克多把拉美流量排名前五的国家
305440	307560	都开放给了中国卖家
307560	309080	那我们一个一个来看一下
309080	311480	首先最大的无庸置疑是巴西
311480	315040	不管是从人口JDP还是电商占比来说的话
315040	318760	巴西都无庸置疑是拉美的第一大国
318760	322080	并且美克多的市占率也达到了37%
322080	323840	那第二大是墨西哥
323840	327080	墨西哥也是对于中国卖家来说
327080	329480	美克多的无流解决方案最多的一个国家
329480	333640	并且墨西哥在美克多平台的业务同比增长
333640	336320	也达到了将近30%
336320	337800	那下面就是智利和哥伦比亚
337800	339680	这两个我们对比来看
339680	343640	首先智利也是一个相对比较发达的国家
343640	345320	在拉美来说的话
345320	351800	总体的人口的人均JDP达到了1.7万美元
351800	353920	这个数字是远远高于中国的
353920	357400	所以他们有较为强大的一个购买力
357400	359920	并它的互联盟不及率也达到了90%
359920	360880	换句话说
360880	362520	一些客战家叫高的产品
362520	365520	其实在智利也会有一个不错的销售
365520	367440	那反观就是哥伦比亚
367440	369240	哥伦比亚相对来说
369240	372440	它是一个相对比较价格敏感性的市场
372440	375760	它的人均JDP只有6700多美元
375760	378120	所以如果大家想布局哥伦比亚的话
378120	379560	其实性价比较高的一些产品
379560	382200	会有一个不错的销售
382200	386040	阿根廷占点是我们今年新开给中国卖家的
386040	391000	它也是拉美的第三大零售电商的市场
391000	394320	并且我们在未来也会给中国卖家开放
394320	399360	阿根廷占点更多的一个无流解决方案
399360	402080	好 我们来看一下这几个国家
